,Title,City,Salary,Rating,Company
280,Business Analyst - Data Science,"Fort Wayne, IN",$48K - $87K ,3.7,MedPro Group
281,"Clinical Scientist, Genetics Lab Director","Tulsa, OK",$44K - $91K ,3.7,Saint Francis Health System
282,Data Scientist,"Durham, NC",$72K - $117K ,4.5,TARGET PHARMASOLUTIONS
283,"Sr. Scientist/Principal Scientist, Immunology","Seattle, WAEasy Apply5d",NaN,NaN,Mozart Therapeutics
284,Associate Scientist or Research Associate,"Ashland, MA",$37K - $66K ,NaN,MatTek Life Sciences
285,Data Analyst,"New York, NY",$75K - $85K ,4.1,Sharecare Inc
286,Corporate Quality Data Analyst,"Danbury, CT",$45K - $93K ,3.3,"Health Quest Systems, Inc."
287,Business Intelligence Data Analyst,"Greensboro, GA19d",NaN,3.9,BANKSOUTH
288,"Associate Scientist, Process Development &amp; Manufacturing 1","San Antonio, TX",$33K - $72K ,2.2,BioBridge Global
289,Machine Learning Engineer,"Wharton, NJ",$136K - $151K ,3.5,Perspecta
290,Data Architect,"Laurel, MD",$84K - $160K ,4.7,Johns Hopkins Applied Physics Laboratory (APL)
291,Machine Learning Engineer,"Wharton, NJ",$136K - $151K ,3.5,Perspecta
292,"Scientist, Workflow Development Group (MA)","Marlborough, MA",$66K - $132K ,3.8,Akoya Biosciences
293,Data Scientist,"Norfolk, VA",$65K - $120K ,3.9,Herdt Consulting Inc
294,Data Engineer,"Quincy, MA",$60K - $109K ,3,Atlantic Broadband
295,Data Engineer,"Chantilly, VA",$90K - $148K ,NaN,SIEGE Technologies
296,Medical Laboratory Scientist,"Decatur, IL",$19 - $27 Per Hour,3.9,Memorial Health
297,Business Data Analyst,"Parsippany, NJ",$53K - $103K ,NaN,"Pressler, Felt & Warshaw, LLP."
298,Data Scientist,"Fort Lauderdale, FL",$65K - $110K ,5,ARC Group
299,Data Analyst,"Bethesda, MD",$49K - $89K ,3.8,CACI
300,Data Solutions Engineer,"Miramar Beach, FLNewEasy Apply1d",NaN,NaN,Moorecroft Systems
301,Data Science Engineer,"Madison, WIEasy Apply18d",NaN,4,AE Business Solutions
302,"Associate Scientist / Scientist I, Protein Biochemistry","Hayward, CA",$82K - $165K ,NaN,"Fornia BioSolutions, Inc."
303,Data Engineer Manager - Remote,"Atlanta, GA",$62K - $122K ,4.1,Bellhops
304,"Geologist, Hydrogeologist or Environmental Scientist","Anchorage, AK",$37K - $72K ,NaN,"Terrasat, Inc."
305,"Sr. Scientist, Biopharmaceutical Development - Protein &amp; Gene Therapy","Irvine, CA",$81K - $158K ,1.8,Nitto Avecia Pharma Services
306,Flow Cytometry Scientist,"Doylestown, PA",$44K - $97K ,NaN,"FlowMetric Life Sciences, Inc."
307,Lead Data Scientist - Search,"Charlotte, NC",$66K - $115K ,4.4,Darwin Recruitment
308,"AVP, ETL Developer/Data Engineer","Livingston, NJ",$136K - $158K ,3.3,CIT Group
309,Senior Clinical Scientist,"Newton, MAEasy Apply13d",NaN,NaN,Allena Pharmaceuticals
310,Healthcare Data Analyst - Quality Outcomes Managment,"Hershey, PA",$53K - $66K ,3.9,Penn State Health Milton S. Hershey Medical Center
311,"Mid-Level Environmental Scientist / Geologist, Req. 2021005","Schaumburg, IL",$60K - $92K ,NaN,Specialty Consulting Inc.
312,Senior Data Engineer,"Watertown, MA",$96K - $153K ,4.2,Athenahealth
313,Certifying Scientist (2nd or 3rd Shift),"Greenville, SC",$109K - $132K ,NaN,Luxor Scientific
314,Clinical Laboratory Scientist (Generalist),"Benicia, CA",$53K - $115K ,NaN,1CARE Medical Diagnostics
315,Data Engineer,"Arlington, VA",$70K - $129K ,4.9,IntraFi Network
316,Scientist / Sr. Scientist - HPLC,"Exton, PA",$52K - $56K ,3.4,Absorption Systems
317,Data Engineer,"South Bend, IN",$119K - $130K ,NaN,Aunalytics
318,Senior Data Analytics Advisor,"Boron, CA",$97K - $103K ,4,Rio Tinto
319,Managed Care Data Analyst,FloridaActively Hiring.css-65p68w{line-height:20px !important;}.css-r3emcz{background:transparent;color:#505863;font-size:12px;font-weight:700;line-height:20px;padding:0;}Easy Apply12d,NaN,4.3,Sarasota Memorial Hospital - Venice
320,Data Scientist,"New York, NY",$84K - $142K ,3.6,Epsilon
321,Data Scientist II,"Los Angeles, CANewEasy Apply1d",NaN,NaN,O'Neil Global Advisors
322,Computer Scientist Level 2,"Fort Meade, MD",$99K - $127K ,3.8,CACI
323,Data Engineer/Scientist TS/SCI w/POLY,"Tysons Corner, VA",$95K - $120K ,NaN,AUGR LLC
324,Data Engineer,"Arlington, VA",$70K - $129K ,4.9,IntraFi Network
325,Data Engineer- TS/SCI Clearance Required,"Chantilly, VAEasy Apply12d",NaN,NaN,"QR Solutions, LLC"
326,Clinical Research Scientist,"Watertown, MA",$35K - $67K ,3.3,"Lyra Therapeutics, Inc."
327,Data Scientist,"Fort Gordon, GA",$82K - $154K ,NaN,"Roccomar, Inc."
328,Healthcare Data Analyst (Accountable Care Organization),"Palm Springs, FL",$40K - $59K ,3.8,"Palm Beach Accountable Care Organization, LLC"
329,Scientist - Ocular,"San Diego, CA",$53K - $76K ,3.4,Absorption Systems
330,Media Analytics Manager,RemoteNew24h,NaN,NaN,Media Matters Worldwide
331,Modeling &amp; Experimental Research Scientist for Materials in Extreme Environments,"Laurel, MD",$61K - $122K ,4.7,Johns Hopkins Applied Physics Laboratory (APL)
332,QA Data Review Specialist (Pharmaceutical),Bristol,$29K - $77K ,NaN,UPM Pharmaceuticals
333,Senior Data Engineer,"Watertown, MA",$96K - $153K ,4.2,Athenahealth
334,Data Scientist,"Valley View Heights, OH",$70K - $123K ,3.6,Citizens
335,Data Scientist,Remote8d,NaN,4.5,WAVELY
336,Senior Data Consultant,"Austin, TX",$121K - $137K ,NaN,Apgar Consulting
337,Data Analyst,"Nashville, TN",$35K - $68K ,3.4,Knowledge Services
338,Data Engineer,"Camden, NJ",$76K - $133K ,3.3,NFI Industries
339,Imagery Analyst Scientist,"Menlo Park, CAEasy Apply5d",NaN,3.8,Akoya Biosciences
340,Clinical Data Analyst,"San Francisco, CA",$60K - $132K ,NaN,Confidential
341,Clinical Laboratory Technologist - Medical Laboratory Scientist 1st Shift,"Buffalo, NY",$43K - $77K ,2.7,"OmniSeq, Inc."
342,Data Scientist,"Atlanta, GA",$86K - $144K ,4,Cox Communications Inc
343,"Scientist, Workflow Development Group (CA)","Menlo Park, CA",$58K - $118K ,3.8,Akoya Biosciences
344,Data Scientist - AI Labs,"New York, NY",$113K - $190K ,4.1,BlackRock
345,Image Data Scientist - Computational Pathology,"San Diego, CAEasy Apply4d",NaN,NaN,Reveal Biosciences
346,Payer Analytics Manager,"Deerfield, IL",$65K - $136K ,3.9,Lundbeck
347,Research Scientist / Engineer – Wireless Communications &amp; Machine Learning,"Rockville, MD",$82K - $156K ,3.8,Intelligent Automation
348,Data Scientist-Senior,"Washington, DC",$119K - $201K ,3.5,Perspecta
349,"Acoustic Signal Processing Engineer - Data Scientist, Machine Learning","Columbia, MD",$65K - $93K ,NaN,Signal Systems Corporation
350,Staff Scientist Assay Development,"Austin, TX",$93K - $179K ,3.8,Thermo Fisher - America
351,Senior Data Scientist,"Denver, CO",$87K - $153K ,3.8,CACI
352,Data Architect/ Senior/ Principal Data Modeler,"Plano, TX",$61K - $135K ,3.9,"Daman, Inc."
353,Data Analyst,"Phoenix, AZ",$44K - $80K ,3.1,Knight Transportation
354,Senior Data Scientist,"Tempe, AZ",$114K - $142K ,2,Global Nephrology Solutions
355,"Sr. Scientist, Bioreactor Process Design","Redmond, WA",$68K - $129K ,4.8,Just - Evotec Biologics
356,Machine Learning Scientist,"Egg Harbor Township, NJ",$84K - $148K ,3.8,Battelle
357,Data Analyst,"Houston, TX6d",NaN,4,Kforce
358,Data Scientist,"Cincinnati, OH",$73K - $117K ,3.8,Fifth Third Bank
359,Travel Clinical Lab Scientist / CLS,CaliforniaEasy Apply9d,NaN,4.6,LRS Healthcare
360,Geospatial Researcher/Data Scientist,"Alexandria, VA",$72K - $124K ,3.8,Battelle
361,Data Engineer,"Oklahoma City, OK",$52K - $106K ,3.4,First Fidelity Bank
362,Data Scientist,"Bellevue, WA7d",NaN,4,System One
363,Azure Data Engineer,"Los Angeles, CA",$81K - $139K ,4.1,Avanade
364,Data Warehouse Engineer / Modeler,Remote11d,NaN,NaN,Verstand AI
365,eCommerce/Marketing Data Analyst,"Arlington Heights, IL",$52K - $96K ,3.4,Hopkins Manufacturing Corporation
366,Data Analyst,"Bloomington, IN",$44K - $84K ,3.6,National Salvage & Service Corporation
367,Data Engineer,"Orlando, FL",$66K - $91K ,NaN,Lakeland Regional Health
368,"Senior Staff Scientist, NGS DNA Amplification","Newark, CA",$152K - $180K ,4.2,Stealth Mode Startup
369,Senior Data Scientist - Defense &amp; Intelligence,"Fort Meade, MD",$84K - $108K ,4.3,Elder Research Inc
370,Data Analyst - Anthem BHI,"Sacramento, CA",$28K - $52K ,2.7,WellSpace Health
371,Data Science Manager,"New York, NY",$87K - $182K ,3.4,Biz2Credit Inc.
372,Quality Data Analyst Coordinator,"Fort Washakie, WY",$31K - $70K ,NaN,Connections Healthcare Staffing
373,Sr. Business Intelligence Analyst,"Bellevue, WA",$54K - $112K ,3.9,Inviso Corporation
374,"Senior Deep Learning Scientist, Mapping &amp; Localization - Autonomous Vehicles","Redmond, WA",$123K - $201K ,4.8,NVIDIA
375,"Associate Scientist, Reagents (Menlo Park, CA)","Menlo Park, CA",$103K - $121K ,3.8,Akoya Biosciences
376,Staff Data Engineer (Oracle ERP/HCM),"Tempe, AZ",$62K - $115K ,3.5,Freedom Financial Network
377,"Senior Deep Learning Scientist, Mapping &amp; Localization - Autonomous Vehicles","Redmond, WA",$123K - $201K ,4.8,NVIDIA
378,"Associate Scientist, Reagents (Menlo Park, CA)","Menlo Park, CA",$103K - $121K ,3.8,Akoya Biosciences
379,Staff Data Engineer (Oracle ERP/HCM),"Tempe, AZ",$62K - $115K ,3.5,Freedom Financial Network
380,Principal Scientist – Battery Cell Development,"Chico, CA",$88K - $176K ,NaN,"Nanotech Energy, Inc."
