,Title,City,Salary,Rating,Company,Hourly,Salary without $ and K,Min_Salary,Max_Salary,Avg_Salary,State,Title Simp,Seniority
106,Financial Data Analyst (North of Chicago),"Chicago, IL",$65K - $79K ,3.6,Uline,0, 65  -  79  ,65,79,72.0,IL,analyst,na
107,Principal Scientist / Analytical Chemistry,"Rush, NY",$146K - $172K ,3.8427956989247285,iuvo BioScience,0, 146  -  172  ,146,172,159.0,NY,na,sr
108,Principal Marketing Scientist,"Livonia, MI",$72K - $137K ,3.5,Valassis,0, 72  -  137  ,72,137,104.5,MI,na,sr
109,Sr. Data Engineer,"Ann Arbor, MI",$90K - $170K ,3.6,"Alteryx, Inc.",0, 90  -  170  ,90,170,130.0,MI,data engineer,sr
110,Research Associate/Scientist - Protein Kinase Assays,"Marlborough, MA",$52K - $99K ,4.0,Bevov,0, 52  -  99  ,52,99,75.5,MA,na,na
111,Data Engineer,"Urbandale, IA",$55K - $103K ,4.2,"Brokers International, Ltd.",0, 55  -  103  ,55,103,79.0,IA,data engineer,na
112,SR DATA ARCHITECT-DIGITAL HLTH,"Dayton, OH",$129K - $142K ,3.6,Premier Health,0, 129  -  142  ,129,142,135.5,OH,na,sr
113,Data Engineer,"Baltimore, MD",$66K - $128K ,3.8427956989247285,CreditXpert,0, 66  -  128  ,66,128,97.0,MD,data engineer,na
114,Senior Data Analyst,"Atlanta, GA",$71K - $110K ,3.8,Unum,0, 71  -  110  ,71,110,90.5,GA,analyst,sr
115,Scientist / Biologist - GMP QC,"Exton, PA",$37K - $41K ,3.4,Absorption Systems,0, 37  -  41  ,37,41,39.0,PA,na,na
116,Licensed Clinical Laboratory Scientist,"Atwater, CA",$53K - $106K ,3.8427956989247285,"Castle Family Health Centers, Inc",0, 53  -  106  ,53,106,79.5,CA,na,na
117,Senior Data Engineer,"New Haven, CT",$81K - $137K ,3.4,AVANGRID,0, 81  -  137  ,81,137,109.0,CT,data engineer,sr
118,Senior Data Scientist,"Boulder, CO",$90K - $162K ,5.0,Cloud Agronomics,0, 90  -  162  ,90,162,126.0,CO,data scientist,sr
119,Data Scientist,"Westborough, MA",$65K - $113K ,3.1,Olympus Corporation of the Americas,0, 65  -  113  ,65,113,89.0,MA,data scientist,na
120,Health Care Data Scientist,"Irving, TX",$91K - $149K ,4.2,"Vizient, Inc.",0, 91  -  149  ,91,149,120.0,TX,data scientist,na
121,Data Scientist,"Anderson, MO",$61K - $113K ,3.4,Walmart,0, 61  -  113  ,61,113,87.0,MO,data scientist,na
122,Scientist-II Cellular Engineering,"San Antonio, TX",$40K - $87K ,2.2,BioBridge Global,0, 40  -  87  ,40,87,63.5,TX,na,na
123,Data Analyst,"Philadelphia, PA",$44K - $84K ,3.1,Gift of Life Donor Program,0, 44  -  84  ,44,84,64.0,PA,analyst,na
124,Web and Marketing Data Analyst,"Newport News, VA",$46K - $95K ,3.6,Ferguson,0, 46  -  95  ,46,95,70.5,VA,analyst,na
125,Machine Learning Engineer,"Plano, TX",$68K - $109K ,3.8,Liberty Mutual Insurance,0, 68  -  109  ,68,109,88.5,TX,ml,na
126,Data Scientist II (Remote),"Carlsbad, CA",$70K - $118K ,3.8,Thermo Fisher - America,0, 70  -  118  ,70,118,94.0,CA,data scientist,na
127,Data Scientist,Remote,$75K - $120K ,3.8427956989247285,ForMotiv,0, 75  -  120  ,75,120,97.5,Remote,data scientist,na
128,Data Science Intern,Remote,$17 Per Hour,4.7,Noodle,1, 17  ,34,34,34.0,Remote,na,na
129,Sr Data Scientist,"Salt Lake City, UT",$80K - $140K ,3.8,Zions Bancorporation,0, 80  -  140  ,80,140,110.0,UT,data scientist,sr
130,Data Scientist,Remote,$63 - $82 Per Hour,4.4,ids,1, 63 -  82  ,126,164,145.0,Remote,data scientist,na
131,Data Scientist,"San Francisco, CA",$250K - $450K ,4.7,Blue Owl,0, 250  -  450  ,250,450,350.0,CA,data scientist,na
132,Scientist / Biologist - GMP QC,"Exton, PA",$37K - $41K ,3.4,Absorption Systems,0, 37  -  41  ,37,41,39.0,PA,na,na
133,Licensed Clinical Laboratory Scientist,"Atwater, CA",$53K - $106K ,3.8427956989247285,"Castle Family Health Centers, Inc",0, 53  -  106  ,53,106,79.5,CA,na,na
134,Senior Data Engineer,"New Haven, CT",$81K - $137K ,3.4,AVANGRID,0, 81  -  137  ,81,137,109.0,CT,data engineer,sr
135,"Marking Mix/ Multi-Touch Attribution Analytics Manager, Team Lead","New York, NY",$53K - $103K ,3.4,KANTAR,0, 53  -  103  ,53,103,78.0,NY,manager,sr
136,Data Scientist,"Westborough, MA",$65K - $113K ,3.1,Olympus Corporation of the Americas,0, 65  -  113  ,65,113,89.0,MA,data scientist,na
137,Product Research and Development Scientist,"Granville, OH",$68K - $116K ,3.9,OWENS CORNING,0, 68  -  116  ,68,116,92.0,OH,na,na
138,Data Scientist,"Anderson, MO",$61K - $113K ,3.4,Walmart,0, 61  -  113  ,61,113,87.0,MO,data scientist,na
139,Scientist-II Cellular Engineering,"San Antonio, TX",$40K - $87K ,2.2,BioBridge Global,0, 40  -  87  ,40,87,63.5,TX,na,na
140,Senior Data Engineer (Polygraph Clearance),"Chantilly, VA",$79K - $139K ,4.2,ManTech International Corporation,0, 79  -  139  ,79,139,109.0,VA,data engineer,sr
141,Data Analyst,"Philadelphia, PA",$44K - $84K ,3.1,Gift of Life Donor Program,0, 44  -  84  ,44,84,64.0,PA,analyst,na
142,Machine Learning Engineer,"Plano, TX",$68K - $109K ,3.8,Liberty Mutual Insurance,0, 68  -  109  ,68,109,88.5,TX,ml,na
143,Web and Marketing Data Analyst,"Newport News, VA",$46K - $95K ,3.6,Ferguson,0, 46  -  95  ,46,95,70.5,VA,analyst,na
144,Scientist II or higher,"Kansas City, KS",$48K - $60K ,3.3,"Sekisui XenoTech, LLC",0, 48  -  60  ,48,60,54.0,KS,na,na
145,"Research Scientist - Computer Vision, Machine Learning","Rockville, MD",$67K - $130K ,3.8,Intelligent Automation,0, 67  -  130  ,67,130,98.5,MD,ml,na
146,Analytical Scientist,"Malvern, PA",$48K - $86K ,3.8427956989247285,Flamma USA,0, 48  -  86  ,48,86,67.0,PA,na,na
147,Senior Operations Research Scientist,"Laurel, MD",$96K - $183K ,4.7,Johns Hopkins Applied Physics Laboratory (APL),0, 96  -  183  ,96,183,139.5,MD,na,sr
148,"Sr. Data Engineer – Fairfax, VA","Fairfax, VA",$92K - $159K ,3.3,Vibrent Health,0, 92  -  159  ,92,159,125.5,VA,data engineer,sr
149,Bioanalytical - Institute Associate Scientist II,"Houston, TX",$46K - $74K ,4.3,MD Anderson Cancer Center,0, 46  -  74  ,46,74,60.0,TX,na,na
150,Clinical Laboratory Scientist-International Travelling required,"Diamond Bar, CA",$49K - $107K ,3.8427956989247285,Confidential,0, 49  -  107  ,49,107,78.0,CA,na,na
151,Senior Data Analyst,"Honolulu, HI",$61K - $115K ,2.6,AlohaCare,0, 61  -  115  ,61,115,88.0,HI,analyst,sr
152,Fraud Data Analyst,"Augusta, ME",$35K - $61K ,3.4,Knowledge Services,0, 35  -  61  ,35,61,48.0,ME,analyst,na
153,Data Scientist,"Fort Lauderdale, FL",$73K - $120K ,3.8427956989247285,Webstore Group,0, 73  -  120  ,73,120,96.5,FL,data scientist,na
154,"Clinical Laboratory Scientist, Full Time, Evening Shift","Lodi, CA",$25 - $41 Per Hour,3.6,Adventist Health,1, 25 -  41  ,50,82,66.0,CA,na,na
155,Network Analytics Manager,"Hanover, MD",$68K - $144K ,4.1,Johns Hopkins Health Care,0, 68  -  144  ,68,144,106.0,MD,manager,na
156,Senior / Principal Big Data Engineer,"Austin, TX",$104K - $135K ,3.4,BlackBerry,0, 104  -  135  ,104,135,119.5,TX,data engineer,sr
157,"Scientist IV, Quality Control","Spokane, WA",$54K - $114K ,3.7,Jubilant HollisterStier Spokane,0, 54  -  114  ,54,114,84.0,WA,na,na
158,Senior Data Scientist,"Topeka, KS",$95K - $150K ,4.2,Hill's Pet Nutrition,0, 95  -  150  ,95,150,122.5,KS,data scientist,sr
159,Research Scientist - Radar,"Rockville, MD",$82K - $156K ,3.8,Intelligent Automation,0, 82  -  156  ,82,156,119.0,MD,na,na
160,Environmental Scientist/Technical Writer,"Amarillo, TX",$36K - $79K ,3.2,Talon/LPE,0, 36  -  79  ,36,79,57.5,TX,na,na
161,Data Science Manager,"Wilmington, DE",$65K - $136K ,4.1,"Continental Finance Company, LLC",0, 65  -  136  ,65,136,100.5,DE,manager,na
162,Data Scientist-Journeyman,"Washington, DC",$83K - $135K ,3.5,Perspecta,0, 83  -  135  ,83,135,109.0,DC,data scientist,na
163,Data Scientist,"Trumbull, CT",$82K - $133K ,3.2,HPOne,0, 82  -  133  ,82,133,107.5,CT,data scientist,na
164,"Clinical Laboratory Scientist (CLS), Full Time, Nights","Willits, CA",$54K - $97K ,3.6,Adventist Health,0, 54  -  97  ,54,97,75.5,CA,na,na
165,GBSD Data Scientist,"Roy, UT",$64K - $129K ,3.8427956989247285,Northrop Grumman,0, 64  -  129  ,64,129,96.5,UT,data scientist,na
166,Enterprise Analytics Consultant (Full time employee),"Whippany, NJ",$66K - $122K ,3.6,ConnectiveRx,0, 66  -  122  ,66,122,94.0,NJ,na,na
167,Scientist/ Manager – Process Analytics,"Cambridge, MA",$82K - $161K ,3.1,Evelo Biosciences,0, 82  -  161  ,82,161,121.5,MA,manager,na
168,Senior Research Scientist - Robotic and Autonomous Systems,"Rockville, MD",$77K - $157K ,3.8,Intelligent Automation,0, 77  -  157  ,77,157,117.0,MD,na,sr
169,GBSD Data Scientist,"Roy, UT",$67K - $121K ,4.0,Northrop Grumman,0, 67  -  121  ,67,121,94.0,UT,data scientist,na
170,Data Scientist (Predictive Modeler),"Vienna, VA",$85K - $141K ,4.1,Navy Federal Credit Union,0, 85  -  141  ,85,141,113.0,VA,data scientist,na
171,Business Analyst - Data Science,"Fort Wayne, IN",$48K - $87K ,3.7,MedPro Group,0, 48  -  87  ,48,87,67.5,IN,analyst,na
172,"Clinical Scientist, Genetics Lab Director","Tulsa, OK",$44K - $91K ,3.7,Saint Francis Health System,0, 44  -  91  ,44,91,67.5,OK,director,na
173,Data Scientist,"Durham, NC",$72K - $117K ,4.5,TARGET PHARMASOLUTIONS,0, 72  -  117  ,72,117,94.5,NC,data scientist,na
174,Associate Scientist or Research Associate,"Ashland, MA",$37K - $66K ,3.8427956989247285,MatTek Life Sciences,0, 37  -  66  ,37,66,51.5,MA,na,na
175,Data Analyst,"New York, NY",$75K - $85K ,4.1,Sharecare Inc,0, 75  -  85  ,75,85,80.0,NY,analyst,na
176,Corporate Quality Data Analyst,"Danbury, CT",$45K - $93K ,3.3,"Health Quest Systems, Inc.",0, 45  -  93  ,45,93,69.0,CT,analyst,na
177,"Associate Scientist, Process Development &amp; Manufacturing 1","San Antonio, TX",$33K - $72K ,2.2,BioBridge Global,0, 33  -  72  ,33,72,52.5,TX,na,na
178,Machine Learning Engineer,"Wharton, NJ",$136K - $151K ,3.5,Perspecta,0, 136  -  151  ,136,151,143.5,NJ,ml,na
179,Data Architect,"Laurel, MD",$84K - $160K ,4.7,Johns Hopkins Applied Physics Laboratory (APL),0, 84  -  160  ,84,160,122.0,MD,na,na
180,Machine Learning Engineer,"Wharton, NJ",$136K - $151K ,3.5,Perspecta,0, 136  -  151  ,136,151,143.5,NJ,ml,na
181,"Scientist, Workflow Development Group (MA)","Marlborough, MA",$66K - $132K ,3.8,Akoya Biosciences,0, 66  -  132  ,66,132,99.0,MA,na,na
182,Data Scientist,"Norfolk, VA",$65K - $120K ,3.9,Herdt Consulting Inc,0, 65  -  120  ,65,120,92.5,VA,data scientist,na
183,Data Engineer,"Quincy, MA",$60K - $109K ,3.0,Atlantic Broadband,0, 60  -  109  ,60,109,84.5,MA,data engineer,na
184,Data Engineer,"Chantilly, VA",$90K - $148K ,3.8427956989247285,SIEGE Technologies,0, 90  -  148  ,90,148,119.0,VA,data engineer,na
185,Medical Laboratory Scientist,"Decatur, IL",$19 - $27 Per Hour,3.9,Memorial Health,1, 19 -  27  ,38,54,46.0,IL,na,na
